type, size, algo, threshold, avg_ms
random, 10600, best, 16, 0
random, 10700, quick, -1, 1
random, 10700, best, 16, 0
random, 10800, quick, -1, 1
random, 10800, best, 16, 0
random, 10900, quick, -1, 1
random, 10900, best, 16, 0
random, 11000, quick, -1, 1
random, 11000, best, 16, 1
random, 11100, quick, -1, 1
random, 11100, best, 16, 0
random, 11200, quick, -1, 1
random, 11200, best, 16, 0
random, 11300, quick, -1, 1
random, 11300, best, 16, 1
random, 11400, quick, -1, 1
random, 11400, best, 16, 1
random, 11500, quick, -1, 1
random, 11500, best, 16, 1
random, 11600, quick, -1, 1
random, 11600, best, 16, 1
random, 11700, quick, -1, 1
random, 11700, best, 16, 0
random, 11800, quick, -1, 1
random, 11800, best, 16, 1
random, 11900, quick, -1, 1
random, 11900, best, 16, 1
random, 12000, quick, -1, 1
random, 12000, best, 16, 1
random, 12100, quick, -1, 1
random, 12100, best, 16, 1
random, 12200, quick, -1, 1
random, 12200, best, 16, 1
random, 12300, quick, -1, 1
random, 12300, best, 16, 1
random, 12400, quick, -1, 1
random, 12400, best, 16, 1
random, 12500, quick, -1, 1
random, 12500, best, 16, 1
random, 12600, quick, -1, 1
random, 12600, best, 16, 1
random, 12700, quick, -1, 1
random, 12700, best, 16, 1
random, 12800, quick, -1, 1
random, 12800, best, 16, 1
random, 12900, quick, -1, 1
random, 12900, best, 16, 1
random, 13000, quick, -1, 1
random, 13000, best, 16, 1
random, 13100, quick, -1, 1
random, 13100, best, 16, 1
random, 13200, quick, -1, 1
random, 13200, best, 16, 1
random, 13300, quick, -1, 1
random, 13300, best, 16, 1
random, 13400, quick, -1, 1
random, 13400, best, 16, 1
random, 13500, quick, -1, 1
random, 13500, best, 16, 1
random, 13600, quick, -1, 1
random, 13600, best, 16, 1
random, 13700, quick, -1, 1
random, 13700, best, 16, 1
random, 13800, quick, -1, 1
random, 13800, best, 16, 1
random, 13900, quick, -1, 1
random, 13900, best, 16, 1
random, 14000, quick, -1, 1
random, 14000, best, 16, 1
random, 14100, quick, -1, 1
random, 14100, best, 16, 1
random, 14200, quick, -1, 1
random, 14200, best, 16, 1
random, 14300, quick, -1, 1
random, 14300, best, 16, 1
random, 14400, quick, -1, 1
random, 14400, best, 16, 1
random, 14500, quick, -1, 1
random, 14500, best, 16, 1
random, 14600, quick, -1, 1
random, 14600, best, 16, 1
random, 14700, quick, -1, 1
random, 14700, best, 16, 1
random, 14800, quick, -1, 1
random, 14800, best, 16, 1
random, 14900, quick, -1, 1
random, 14900, best, 16, 1
random, 15000, quick, -1, 1
random, 15000, best, 16, 1
random, 15100, quick, -1, 2
random, 15100, best, 16, 1
random, 15200, quick, -1, 2
random, 15200, best, 16, 1
random, 15300, quick, -1, 2
random, 15300, best, 16, 1
random, 15400, quick, -1, 2
random, 15400, best, 16, 1
random, 15500, quick, -1, 2
random, 15500, best, 16, 1
random, 15600, quick, -1, 2
random, 15600, best, 16, 1
random, 15700, quick, -1, 1
random, 15700, best, 16, 1
random, 15800, quick, -1, 1
random, 15800, best, 16, 1
random, 15900, quick, -1, 2
random, 15900, best, 16, 1
random, 16000, quick, -1, 2
random, 16000, best, 16, 1
random, 16100, quick, -1, 2
random, 16100, best, 16, 1
random, 16200, quick, -1, 2
random, 16200, best, 16, 1
random, 16300, quick, -1, 2
random, 16300, best, 16, 1
random, 16400, quick, -1, 2
random, 16400, best, 16, 1
random, 16500, quick, -1, 2
random, 16500, best, 16, 1
random, 16600, quick, -1, 2
random, 16600, best, 16, 1
random, 16700, quick, -1, 2
random, 16700, best, 16, 1
random, 16800, quick, -1, 2
random, 16800, best, 16, 1
random, 16900, quick, -1, 2
random, 16900, best, 16, 1
random, 17000, quick, -1, 2
random, 17000, best, 16, 1
random, 17100, quick, -1, 2
random, 17100, best, 16, 1
random, 17200, quick, -1, 2
random, 17200, best, 16, 1
random, 17300, quick, -1, 2
random, 17300, best, 16, 1
random, 17400, quick, -1, 2
random, 17400, best, 16, 1
random, 17500, quick, -1, 2
random, 17500, best, 16, 1
random, 17600, quick, -1, 2
random, 17600, best, 16, 1
random, 17700, quick, -1, 2
random, 17700, best, 16, 1
random, 17800, quick, -1, 2
random, 17800, best, 16, 1
random, 17900, quick, -1, 2
random, 17900, best, 16, 1
random, 18000, quick, -1, 2
random, 18000, best, 16, 1
random, 18100, quick, -1, 2
random, 18100, best, 16, 1
random, 18200, quick, -1, 2
random, 18200, best, 16, 1
random, 18300, quick, -1, 2
random, 18300, best, 16, 1
random, 18400, quick, -1, 2
random, 18400, best, 16, 1
random, 18500, quick, -1, 2
random, 18500, best, 16, 1
random, 18600, quick, -1, 2
random, 18600, best, 16, 1
random, 18700, quick, -1, 2
random, 18700, best, 16, 1
random, 18800, quick, -1, 2
random, 18800, best, 16, 1
random, 18900, quick, -1, 2
random, 18900, best, 16, 1
random, 19000, quick, -1, 2
random, 19000, best, 16, 1
random, 19100, quick, -1, 2
random, 19100, best, 16, 1
random, 19200, quick, -1, 2
random, 19200, best, 16, 1
random, 19300, quick, -1, 2
random, 19300, best, 16, 1
random, 19400, quick, -1, 2
random, 19400, best, 16, 1
random, 19500, quick, -1, 2
random, 19500, best, 16, 1
random, 19600, quick, -1, 2
random, 19600, best, 16, 1
random, 19700, quick, -1, 2
random, 19700, best, 16, 1
random, 19800, quick, -1, 2
random, 19800, best, 16, 1
random, 19900, quick, -1, 2
random, 19900, best, 16, 1
random, 20000, quick, -1, 2
random, 20000, best, 16, 1
random, 20100, quick, -1, 3
random, 20100, best, 16, 1
random, 20200, quick, -1, 2
random, 20200, best, 16, 1
random, 20300, quick, -1, 2
random, 20300, best, 16, 1
random, 20400, quick, -1, 2
random, 20400, best, 16, 1
random, 20500, quick, -1, 2
random, 20500, best, 16, 1
random, 20600, quick, -1, 2
random, 20600, best, 16, 1
random, 20700, quick, -1, 2
random, 20700, best, 16, 1
random, 20800, quick, -1, 2
random, 20800, best, 16, 2
random, 20900, quick, -1, 2
random, 20900, best, 16, 1
random, 21000, quick, -1, 2
random, 21000, best, 16, 1
random, 21100, quick, -1, 2
random, 21100, best, 16, 2
random, 21200, quick, -1, 2
random, 21200, best, 16, 2
random, 21300, quick, -1, 2
random, 21300, best, 16, 2
random, 21400, quick, -1, 2
random, 21400, best, 16, 2
random, 21500, quick, -1, 2
random, 21500, best, 16, 2
random, 21600, quick, -1, 2
random, 21600, best, 16, 2
random, 21700, quick, -1, 2
random, 21700, best, 16, 2
random, 21800, quick, -1, 3
random, 21800, best, 16, 2
random, 21900, quick, -1, 2
random, 21900, best, 16, 2
random, 22000, quick, -1, 3
random, 22000, best, 16, 2
random, 22100, quick, -1, 3
random, 22100, best, 16, 2
random, 22200, quick, -1, 3
random, 22200, best, 16, 2
random, 22300, quick, -1, 3
random, 22300, best, 16, 2
random, 22400, quick, -1, 3
random, 22400, best, 16, 1
random, 22500, quick, -1, 2
random, 22500, best, 16, 1
random, 22600, quick, -1, 2
random, 22600, best, 16, 1
random, 22700, quick, -1, 2
random, 22700, best, 16, 2
random, 22800, quick, -1, 2
random, 22800, best, 16, 2
random, 22900, quick, -1, 3
random, 22900, best, 16, 2
random, 23000, quick, -1, 3
random, 23000, best, 16, 2
random, 23100, quick, -1, 3
random, 23100, best, 16, 2
random, 23200, quick, -1, 3
random, 23200, best, 16, 2
random, 23300, quick, -1, 3
random, 23300, best, 16, 2
random, 23400, quick, -1, 3
random, 23400, best, 16, 2
random, 23500, quick, -1, 3
random, 23500, best, 16, 2
random, 23600, quick, -1, 3
random, 23600, best, 16, 2
random, 23700, quick, -1, 3
random, 23700, best, 16, 2
random, 23800, quick, -1, 3
random, 23800, best, 16, 2
random, 23900, quick, -1, 3
random, 23900, best, 16, 2
random, 24000, quick, -1, 3
random, 24000, best, 16, 2
random, 24100, quick, -1, 3
random, 24100, best, 16, 2
random, 24200, quick, -1, 3
random, 24200, best, 16, 2
random, 24300, quick, -1, 3
random, 24300, best, 16, 2
random, 24400, quick, -1, 3
random, 24400, best, 16, 2
random, 24500, quick, -1, 3
random, 24500, best, 16, 2
random, 24600, quick, -1, 3
random, 24600, best, 16, 2
random, 24700, quick, -1, 3
random, 24700, best, 16, 2
random, 24800, quick, -1, 3
random, 24800, best, 16, 2
random, 24900, quick, -1, 3
random, 24900, best, 16, 2
random, 25000, quick, -1, 3
random, 25000, best, 16, 2
random, 25100, quick, -1, 3
random, 25100, best, 16, 2
random, 25200, quick, -1, 3
random, 25200, best, 16, 2
random, 25300, quick, -1, 3
random, 25300, best, 16, 2
random, 25400, quick, -1, 3
random, 25400, best, 16, 2
random, 25500, quick, -1, 3
random, 25500, best, 16, 2
random, 25600, quick, -1, 3
random, 25600, best, 16, 2
random, 25700, quick, -1, 3
random, 25700, best, 16, 2
random, 25800, quick, -1, 3
random, 25800, best, 16, 2
random, 25900, quick, -1, 3
random, 25900, best, 16, 2
random, 26000, quick, -1, 3
random, 26000, best, 16, 2
random, 26100, quick, -1, 3
random, 26100, best, 16, 2
random, 26200, quick, -1, 3
random, 26200, best, 16, 2
random, 26300, quick, -1, 3
random, 26300, best, 16, 2
random, 26400, quick, -1, 3
random, 26400, best, 16, 2
random, 26500, quick, -1, 3
random, 26500, best, 16, 2
random, 26600, quick, -1, 3
random, 26600, best, 16, 2
random, 26700, quick, -1, 3
random, 26700, best, 16, 2
random, 26800, quick, -1, 3
random, 26800, best, 16, 2
random, 26900, quick, -1, 3
random, 26900, best, 16, 2
random, 27000, quick, -1, 3
random, 27000, best, 16, 2
random, 27100, quick, -1, 3
random, 27100, best, 16, 2
random, 27200, quick, -1, 3
random, 27200, best, 16, 2
random, 27300, quick, -1, 3
random, 27300, best, 16, 2
random, 27400, quick, -1, 3
random, 27400, best, 16, 2
random, 27500, quick, -1, 3
random, 27500, best, 16, 2
random, 27600, quick, -1, 3
random, 27600, best, 16, 2
random, 27700, quick, -1, 3
random, 27700, best, 16, 2
random, 27800, quick, -1, 3
random, 27800, best, 16, 2
random, 27900, quick, -1, 3
random, 27900, best, 16, 2
random, 28000, quick, -1, 3
random, 28000, best, 16, 2
random, 28100, quick, -1, 3
random, 28100, best, 16, 2
random, 28200, quick, -1, 3
random, 28200, best, 16, 2
random, 28300, quick, -1, 3
random, 28300, best, 16, 2
random, 28400, quick, -1, 3
random, 28400, best, 16, 2
random, 28500, quick, -1, 3
random, 28500, best, 16, 2
random, 28600, quick, -1, 3
random, 28600, best, 16, 2
random, 28700, quick, -1, 3
random, 28700, best, 16, 2
random, 28800, quick, -1, 3
random, 28800, best, 16, 2
random, 28900, quick, -1, 3
random, 28900, best, 16, 2
random, 29000, quick, -1, 3
random, 29000, best, 16, 2
random, 29100, quick, -1, 3
random, 29100, best, 16, 2
random, 29200, quick, -1, 3
random, 29200, best, 16, 2
random, 29300, quick, -1, 3
random, 29300, best, 16, 2
random, 29400, quick, -1, 3
random, 29400, best, 16, 2
random, 29500, quick, -1, 3
random, 29500, best, 16, 2
random, 29600, quick, -1, 3
random, 29600, best, 16, 2
random, 29700, quick, -1, 3
random, 29700, best, 16, 2
random, 29800, quick, -1, 3
random, 29800, best, 16, 2
random, 29900, quick, -1, 3
random, 29900, best, 16, 2
random, 30000, quick, -1, 3
random, 30000, best, 16, 2
random, 30100, quick, -1, 4
random, 30100, best, 16, 2
random, 30200, quick, -1, 4
random, 30200, best, 16, 2
random, 30300, quick, -1, 4
random, 30300, best, 16, 3
random, 30400, quick, -1, 4
random, 30400, best, 16, 2
random, 30500, quick, -1, 4
random, 30500, best, 16, 2
random, 30600, quick, -1, 4
random, 30600, best, 16, 2
random, 30700, quick, -1, 4
random, 30700, best, 16, 2
random, 30800, quick, -1, 4
random, 30800, best, 16, 2
random, 30900, quick, -1, 4
random, 30900, best, 16, 2
random, 31000, quick, -1, 4
random, 31000, best, 16, 2
random, 31100, quick, -1, 4
random, 31100, best, 16, 2
random, 31200, quick, -1, 4
random, 31200, best, 16, 3
random, 31300, quick, -1, 4
random, 31300, best, 16, 3
random, 31400, quick, -1, 4
random, 31400, best, 16, 3
random, 31500, quick, -1, 4
random, 31500, best, 16, 2
random, 31600, quick, -1, 4
random, 31600, best, 16, 3
random, 31700, quick, -1, 4
random, 31700, best, 16, 3
random, 31800, quick, -1, 4
random, 31800, best, 16, 3
random, 31900, quick, -1, 4
random, 31900, best, 16, 2
random, 32000, quick, -1, 4
random, 32000, best, 16, 3
random, 32100, quick, -1, 4
random, 32100, best, 16, 3
random, 32200, quick, -1, 4
random, 32200, best, 16, 3
random, 32300, quick, -1, 4
random, 32300, best, 16, 3
random, 32400, quick, -1, 4
random, 32400, best, 16, 3
random, 32500, quick, -1, 4
random, 32500, best, 16, 3
random, 32600, quick, -1, 4
random, 32600, best, 16, 3
random, 32700, quick, -1, 4
random, 32700, best, 16, 3
random, 32800, quick, -1, 4
random, 32800, best, 16, 3
random, 32900, quick, -1, 4
random, 32900, best, 16, 3
random, 33000, quick, -1, 4
random, 33000, best, 16, 3
random, 33100, quick, -1, 4
random, 33100, best, 16, 3
random, 33200, quick, -1, 4
random, 33200, best, 16, 3
random, 33300, quick, -1, 4
random, 33300, best, 16, 3
random, 33400, quick, -1, 4
random, 33400, best, 16, 3
random, 33500, quick, -1, 4
random, 33500, best, 16, 3
random, 33600, quick, -1, 4
random, 33600, best, 16, 3
random, 33700, quick, -1, 4
random, 33700, best, 16, 3
random, 33800, quick, -1, 4
random, 33800, best, 16, 3
random, 33900, quick, -1, 4
random, 33900, best, 16, 3
random, 34000, quick, -1, 4
random, 34000, best, 16, 3
random, 34100, quick, -1, 4
random, 34100, best, 16, 3
random, 34200, quick, -1, 4
random, 34200, best, 16, 3
random, 34300, quick, -1, 4
random, 34300, best, 16, 3
random, 34400, quick, -1, 4
random, 34400, best, 16, 3
random, 34500, quick, -1, 4
random, 34500, best, 16, 3
random, 34600, quick, -1, 4
random, 34600, best, 16, 3
random, 34700, quick, -1, 4
random, 34700, best, 16, 3
random, 34800, quick, -1, 4
random, 34800, best, 16, 3
random, 34900, quick, -1, 4
random, 34900, best, 16, 3
random, 35000, quick, -1, 4
random, 35000, best, 16, 3
random, 35100, quick, -1, 4
random, 35100, best, 16, 3
random, 35200, quick, -1, 4
random, 35200, best, 16, 3
random, 35300, quick, -1, 4
random, 35300, best, 16, 3
random, 35400, quick, -1, 4
random, 35400, best, 16, 3
random, 35500, quick, -1, 4
random, 35500, best, 16, 3
random, 35600, quick, -1, 4
random, 35600, best, 16, 3
random, 35700, quick, -1, 4
random, 35700, best, 16, 3
random, 35800, quick, -1, 4
random, 35800, best, 16, 3
random, 35900, quick, -1, 4
random, 35900, best, 16, 3
random, 36000, quick, -1, 4
random, 36000, best, 16, 3
random, 36100, quick, -1, 4
random, 36100, best, 16, 3
random, 36200, quick, -1, 4
random, 36200, best, 16, 3
random, 36300, quick, -1, 4
random, 36300, best, 16, 3
random, 36400, quick, -1, 4
random, 36400, best, 16, 3
random, 36500, quick, -1, 4
random, 36500, best, 16, 3
random, 36600, quick, -1, 4
random, 36600, best, 16, 3
random, 36700, quick, -1, 4
random, 36700, best, 16, 3
random, 36800, quick, -1, 4
random, 36800, best, 16, 3
random, 36900, quick, -1, 4
random, 36900, best, 16, 3
random, 37000, quick, -1, 4
random, 37000, best, 16, 3
random, 37100, quick, -1, 4
random, 37100, best, 16, 3
random, 37200, quick, -1, 4
random, 37200, best, 16, 3
random, 37300, quick, -1, 4
random, 37300, best, 16, 3
random, 37400, quick, -1, 4
random, 37400, best, 16, 3
random, 37500, quick, -1, 4
random, 37500, best, 16, 3
random, 37600, quick, -1, 4
random, 37600, best, 16, 3
random, 37700, quick, -1, 4
random, 37700, best, 16, 3
random, 37800, quick, -1, 4
random, 37800, best, 16, 3
random, 37900, quick, -1, 4
random, 37900, best, 16, 3
random, 38000, quick, -1, 4
random, 38000, best, 16, 3
random, 38100, quick, -1, 4
random, 38100, best, 16, 3
random, 38200, quick, -1, 5
random, 38200, best, 16, 3
random, 38300, quick, -1, 5
random, 38300, best, 16, 3
random, 38400, quick, -1, 5
random, 38400, best, 16, 3
random, 38500, quick, -1, 5
random, 38500, best, 16, 3
random, 38600, quick, -1, 5
random, 38600, best, 16, 3
random, 38700, quick, -1, 5
random, 38700, best, 16, 3
random, 38800, quick, -1, 5
random, 38800, best, 16, 4
random, 38900, quick, -1, 7
random, 38900, best, 16, 4
random, 39000, quick, -1, 4
random, 39000, best, 16, 3
random, 39100, quick, -1, 5
random, 39100, best, 16, 3
random, 39200, quick, -1, 5
random, 39200, best, 16, 3
random, 39300, quick, -1, 5
random, 39300, best, 16, 3
random, 39400, quick, -1, 4
random, 39400, best, 16, 3
random, 39500, quick, -1, 5
random, 39500, best, 16, 3
random, 39600, quick, -1, 4
random, 39600, best, 16, 3
random, 39700, quick, -1, 4
random, 39700, best, 16, 3
random, 39800, quick, -1, 5
random, 39800, best, 16, 3
random, 39900, quick, -1, 4
random, 39900, best, 16, 3
random, 40000, quick, -1, 5
random, 40000, best, 16, 4
random, 40100, quick, -1, 6
random, 40100, best, 16, 3
random, 40200, quick, -1, 5
random, 40200, best, 16, 3
random, 40300, quick, -1, 5
random, 40300, best, 16, 3
random, 40400, quick, -1, 5
random, 40400, best, 16, 3
random, 40500, quick, -1, 5
random, 40500, best, 16, 3
random, 40600, quick, -1, 5
random, 40600, best, 16, 3
random, 40700, quick, -1, 5
random, 40700, best, 16, 3
random, 40800, quick, -1, 5
random, 40800, best, 16, 3
random, 40900, quick, -1, 5
random, 40900, best, 16, 3
random, 41000, quick, -1, 5
random, 41000, best, 16, 3
random, 41100, quick, -1, 5
random, 41100, best, 16, 3
random, 41200, quick, -1, 5
random, 41200, best, 16, 3
random, 41300, quick, -1, 5
random, 41300, best, 16, 3
random, 41400, quick, -1, 5
random, 41400, best, 16, 3
random, 41500, quick, -1, 5
random, 41500, best, 16, 4
random, 41600, quick, -1, 5
random, 41600, best, 16, 4
random, 41700, quick, -1, 5
random, 41700, best, 16, 4
random, 41800, quick, -1, 5
random, 41800, best, 16, 3
random, 41900, quick, -1, 5
random, 41900, best, 16, 4
random, 42000, quick, -1, 5
random, 42000, best, 16, 4
random, 42100, quick, -1, 5
random, 42100, best, 16, 5
random, 42200, quick, -1, 6
random, 42200, best, 16, 4
random, 42300, quick, -1, 5
random, 42300, best, 16, 4
random, 42400, quick, -1, 5
random, 42400, best, 16, 4
random, 42500, quick, -1, 5
random, 42500, best, 16, 4
random, 42600, quick, -1, 5
random, 42600, best, 16, 4
random, 42700, quick, -1, 5
random, 42700, best, 16, 4
random, 42800, quick, -1, 5
random, 42800, best, 16, 4
random, 42900, quick, -1, 5
random, 42900, best, 16, 4
random, 43000, quick, -1, 5
random, 43000, best, 16, 4
random, 43100, quick, -1, 5
random, 43100, best, 16, 4
random, 43200, quick, -1, 5
random, 43200, best, 16, 4
random, 43300, quick, -1, 5
random, 43300, best, 16, 4
random, 43400, quick, -1, 5
random, 43400, best, 16, 4
random, 43500, quick, -1, 5
random, 43500, best, 16, 4
random, 43600, quick, -1, 5
random, 43600, best, 16, 3
random, 43700, quick, -1, 5
random, 43700, best, 16, 4
random, 43800, quick, -1, 5
random, 43800, best, 16, 4
random, 43900, quick, -1, 5
random, 43900, best, 16, 4
random, 44000, quick, -1, 5
random, 44000, best, 16, 4
random, 44100, quick, -1, 5
random, 44100, best, 16, 4
random, 44200, quick, -1, 5
random, 44200, best, 16, 4
random, 44300, quick, -1, 5
random, 44300, best, 16, 4
random, 44400, quick, -1, 5
random, 44400, best, 16, 4
random, 44500, quick, -1, 5
random, 44500, best, 16, 4
random, 44600, quick, -1, 5
random, 44600, best, 16, 4
random, 44700, quick, -1, 5
random, 44700, best, 16, 4
random, 44800, quick, -1, 5
random, 44800, best, 16, 4
random, 44900, quick, -1, 5
random, 44900, best, 16, 4
random, 45000, quick, -1, 5
random, 45000, best, 16, 4
random, 45100, quick, -1, 5
random, 45100, best, 16, 4
random, 45200, quick, -1, 6
random, 45200, best, 16, 4
random, 45300, quick, -1, 6
random, 45300, best, 16, 4
random, 45400, quick, -1, 6
random, 45400, best, 16, 4
random, 45500, quick, -1, 6
random, 45500, best, 16, 4
random, 45600, quick, -1, 6
random, 45600, best, 16, 4
random, 45700, quick, -1, 5
random, 45700, best, 16, 4
random, 45800, quick, -1, 6
random, 45800, best, 16, 4
random, 45900, quick, -1, 5
random, 45900, best, 16, 4
random, 46000, quick, -1, 7
random, 46000, best, 16, 8
random, 46100, quick, -1, 8
random, 46100, best, 16, 5
random, 46200, quick, -1, 6
random, 46200, best, 16, 6
random, 46300, quick, -1, 7
random, 46300, best, 16, 4
random, 46400, quick, -1, 6
random, 46400, best, 16, 4
random, 46500, quick, -1, 6
random, 46500, best, 16, 4
random, 46600, quick, -1, 5
random, 46600, best, 16, 4
random, 46700, quick, -1, 6
random, 46700, best, 16, 4
random, 46800, quick, -1, 6
random, 46800, best, 16, 4
random, 46900, quick, -1, 6
random, 46900, best, 16, 4
random, 47000, quick, -1, 5
random, 47000, best, 16, 4
random, 47100, quick, -1, 6
random, 47100, best, 16, 4
random, 47200, quick, -1, 6
random, 47200, best, 16, 4
random, 47300, quick, -1, 6
random, 47300, best, 16, 4
random, 47400, quick, -1, 6
random, 47400, best, 16, 4
random, 47500, quick, -1, 6
random, 47500, best, 16, 4
random, 47600, quick, -1, 6
random, 47600, best, 16, 4
random, 47700, quick, -1, 5
random, 47700, best, 16, 4
random, 47800, quick, -1, 6
random, 47800, best, 16, 4
random, 47900, quick, -1, 6
random, 47900, best, 16, 4
random, 48000, quick, -1, 6
random, 48000, best, 16, 4
random, 48100, quick, -1, 6
random, 48100, best, 16, 4
random, 48200, quick, -1, 6
random, 48200, best, 16, 4
random, 48300, quick, -1, 6
random, 48300, best, 16, 4
random, 48400, quick, -1, 6
random, 48400, best, 16, 4
random, 48500, quick, -1, 6
random, 48500, best, 16, 4
random, 48600, quick, -1, 6
